序号,商品编号,商品名称,价格,销量,产地
80,8951329,欧舒丹（L'OCCITANE）强韧丰盈防落发洗发露500ml（强韧发丝 丰盈蓬松 修复秀发 滋润 不干枯）,260.00,1.5万+,法国
81,29088806771,章光101瑞丝氨基酸无硅油生姜洗发水生发,132.00,1900+,中国
82,8048381,Rogaine 落健 美国进口男性浓密,489.00,1800+,意大利
83,5575894,吕(Ryo)滋养韧发密集强韧套组(中干性头皮400ml洗发水+200ml护发乳) 紫吕套组滋润型,124.00,5.4万+,韩国
84,30016721965,九叶草 正品生姜洗发水防止脱固发草本去油无硅油去屑长发增长液老姜王防掉发洗发护发液增发密发男女士通用,88.00,1400+,中国大陆
85,30760523476,宜莱雅（YILAIYA） 生发液脱发生长液生发增发密发固发发际线生发液男女,398.00,40+,中国
86,7301533,韩国进口 吕(Ryo) 红真丹滋养护发洗发水 820ml/瓶 修护损伤 滋养韧发 丰盈发丝,65.00,17万+,韩国
87,29162504330,章光101瑞丝防脱香波,146.99,1.2万+,大陆
88,7428832,滋源 seeyoung 繁花星辰 强韧香氛 洗头水 535ml 无硅油无硫酸盐 丰盈蓬松 强韧发丝,125.00,49万+,中国大陆
89,7171286,箭牌（MANE 'N TAIL）经典配方洗发露355ml(清爽控油 强韧发质 无硅油 美国原装进口）,49.90,4900+,美国
90,31275406477,去头屑男女 一瓶400ML,65.00,600+,泰国
91,11290165387,同仁堂（TRT） 北京同仁堂生姜洗发水 ,129.00,9300+,中国大陆
92,1647804,资生堂水之密语 （AQUAIR）净澄水活（倍润型）洗发露200ml(洗发水强韧发质),36.00,34万+,上海
93,27953402544,洗发水控油去屑生发增发密发洗发液女老姜汁洗护套装无硅油 单瓶防脱【轻度-1周期】,88.00,3000+,中国大陆
94,1159597667,LUSH洗发皂 岚舒小红帽洗发皂防脱生发,81.00,1万+,-1
95,28423549767,秃顶头发增长精华液增发密发育发男女脂溢性防掉发养发护发健发固发营养育发液 单瓶/买2瓶送1瓶,158.00,9200+,中国大陆
96,29472693781,章光101瑞丝防脱香波,235.00,1.2万+,大陆
97,5675365,爱茉莉 爱茉诗(AMOS)02绿茶,189.00,2400+,韩国
98,5394061,吕(Ryo)滋养韧发密集强韧洗发水(中干性头皮)400ml 紫吕洗发水滋润型,98.00,12万+,韩国
99,100000196401,沙宣无硅油小脸洗发水迷迭香养根韧发裸感500ml (48小时清爽蓬松) 易烊千玺同款清香型,69.90,12万+,广州
100,29088806772,章光101瑞丝氨基酸无硅油生姜洗发水生发,58.00,1900+,中国
101,1474597706,生姜洗发水老姜王育发控油姜汁洗头膏无硅油洗发露 洗发水800ml+护发素800ml,201.00,2.7万+,中国
102,1962031822,【第二支5折】露华浓（Revlon）生姜洗发水男女士保湿洗发露护发素,46.00,1.5万+,-1
103,5793189,吕(Ryo)滋养韧发密集强韧套组(油性头皮400ml洗发水+200ml护发乳) 紫吕套组清爽型,124.00,5.4万+,韩国
104,5120844,霸王防脱活发滋养毛囊护理洗护套装（,328.00,9万+,中国大陆广东省
105,27953402546,洗发水控油去屑生发增发密发洗发液女老姜汁洗护套装无硅油 单瓶防脱+单瓶发膜【套装】,158.00,3000+,中国大陆
106,1967106055,美体小铺（The Body Shop） 英国 生姜洗发水400ml TBS去屑止痒缓解防掉发 400ml新版,,7400+,英国
107,1995613960,资生堂（Shiseido） ADENOGEN 不老林无硅油健发 ,239.00,2500+,日本
108,1017645273,洗发液去屑止痒洗发露男女士控油洗头水套装,39.00,3800+,广东
109,2731501,琴叶生姜,38.50,2.8万+,广东
110,8951329,欧舒丹（L'OCCITANE）强韧丰盈防落发洗发露500ml（强韧发丝 丰盈蓬松 修复秀发 滋润 不干枯）,260.00,1.5万+,法国
111,29088806771,章光101瑞丝氨基酸无硅油生姜洗发水生发,132.00,1900+,中国
112,8048381,Rogaine 落健 美国进口男性浓密,489.00,1800+,意大利
113,5575894,吕(Ryo)滋养韧发密集强韧套组(中干性头皮400ml洗发水+200ml护发乳) 紫吕套组滋润型,124.00,5.4万+,韩国
114,30016721965,九叶草 正品生姜洗发水防止脱固发草本去油无硅油去屑长发增长液老姜王防掉发洗发护发液增发密发男女士通用,88.00,1400+,中国大陆
115,1510183639,育发生发固发洗发水男士女士生姜洗发水乌发密发洗护套装 家庭装500ml,178.00,3300+,中国大陆
116,7301533,韩国进口 吕(Ryo) 红真丹滋养护发洗发水 820ml/瓶 修护损伤 滋养韧发 丰盈发丝,65.00,17万+,韩国
117,29162504330,章光101瑞丝防脱香波,146.99,1.2万+,大陆
118,7428832,滋源 seeyoung 繁花星辰 强韧香氛 洗头水 535ml 无硅油无硫酸盐 丰盈蓬松 强韧发丝,125.00,49万+,中国大陆
119,7171286,箭牌（MANE 'N TAIL）经典配方洗发露355ml(清爽控油 强韧发质 无硅油 美国原装进口）,49.90,4900+,美国
120,31275406477,去头屑男女 一瓶400ML,65.00,600+,泰国
121,10733027577,洗发水男士防掉发洗发露防脱洗发膏 男士400ml,98.00,1400+,陕西西安
122,1466699789,洗发水瑞丝香波200g洗发露男女滋养头皮,45.00,1300+,中国大陆
123,1159675690,LUSH洗发皂 岚舒小红帽洗发皂防脱生发,82.00,1万+,-1
124,1973246584,卡诗（KERASTASE）进口根源特护洗发水250mL 改善纤弱细软防掉发控油丰盈蓬松发根洗发露 （蓬松控油,178.00,100+,西班牙
125,25944789133,秃顶头发增长精华液增发密发育发男女脂溢性防掉发养发护发健发固发 育发液50ml+修复液50ml,138.00,500+,中国大陆
126,1474597707,生姜洗发水老姜王育发控油姜汁洗头膏无硅油洗发露 防脱洗发水400ml+头皮营养剂50ml,148.00,2.7万+,中国
127,1970131598,美体小铺(the body shop)生姜洗发水护发素套装 ,108.00,9800+,-1
128,1962031823,【第二支5折】露华浓（Revlon）生姜洗发水男女士保湿洗发露护发素,102.00,1.5万+,-1
129,22769966726,防止脱生姜洗发水育新发头发增长液溢脂性脱发去油草本长发老姜王姜汁防掉发护发密发,88.00,6800+,中国大陆
130,29162504331,章光101瑞丝防脱香波,68.00,1.2万+,大陆
131,8142885,Rogaine 男性浓密,489.00,1800+,意大利
132,27298363021,卡诗（KERASTASE） 男士纤弱发质洗发水露男士250ml 防掉发无硅油强韧纤细发质控油去屑止痒,198.00,900+,西班牙
133,11772870480,营养液,99.00,3100+,德国
134,32121359527,韩鹭（hanlu） 防止脱发生姜洗发水育头发增长液溢脂性脱发去油老姜王姜汁防掉发护发密发洗头水 2瓶装【两瓶一疗程，第二瓶五折】,132.00,500+,中国大陆
135,10689726087,洗发水防掉发断发脂溢性生发液生长男增发密发女士女性老姜汁姜王洗发露,85.00,2800+,中国
136,29211183864,章光101瑞丝生发液育发液,92.00,6700+,中国
137,10125012239,掉发生姜洗发水姜汁洗发露育发男女士防脱洗头水液,138.00,1.1万+,中国大陆
138,11289276467,霸王（BAWANG） ,48.00,400+,中国大陆
139,1958518335,【满99减20】露华浓（Revlon）生姜洗发水 男女士保湿洗发露护发素,45.00,1100+,-1
140,31291292646,洗发露洗护去屑无硅油控油咖啡因洗发液女孕妇可用250ml,109.00,300+,德国
141,29155842620,章光101瑞丝氨基酸无硅油生姜洗发水生发育发,112.00,4700+,0
142,1991350633,原装进口NIZORAL仁山利舒洗发水 去屑止痒,139.00,1100+,-1
143,25411010909,洗发水洗发精香波洗发露 强根固发防掉发控油清洁头皮,89.00,900+,中国大陆
144,11773749369,营养液发根活素滋养液育发营养素头发毛囊护理增发 Alpecin营养液200ml *2,188.00,500+,德国
145,12949607517,发雅丝（FAYASI） 姜医生控油清爽洗发露防脱防掉发姜汁去屑止痒防脱控油生姜育发液洗发水 750ml防脱洗发水,238.00,7300+,广东广州
146,100000388180, 减缓掉发 唤醒头皮 洁净滋养护发),239.90,100+,中山
147,18022665972,洗发水500ml何首乌控油防脱洗发露男女士固发洗头膏 包邮,58.90,1300+,中国大陆
148,30706643090,控油止痒脂溢性脱发含植物中药侧柏叶生姜汁 生姜头皮护理液,99.00,200+,成都
149,24217212514,巴黎卡诗男士洗发水,178.00,200+,-1
150,5647706,吕(Ryo)滋养韧发密集强韧洗发水(中干性头皮)200ml 紫吕洗发水滋润型,58.00,3.6万+,韩国
151,10733027577,洗发水男士防掉发洗发露防脱洗发膏 男士400ml,98.00,1400+,陕西西安
152,1466699789,洗发水瑞丝香波200g洗发露男女滋养头皮,45.00,1300+,中国大陆
153,1159675690,LUSH洗发皂 岚舒小红帽洗发皂防脱生发,82.00,1万+,-1
154,1973246584,卡诗（KERASTASE）进口根源特护洗发水250mL 改善纤弱细软防掉发控油丰盈蓬松发根洗发露 （蓬松控油,178.00,100+,西班牙
155,22856172723,卡诗（KERASTASE）白金赋活洗发水1L 改善细软稀疏发质防止脱发掉发活力强健洗发露 白金赋活洗发水1L,480.00,200+,-1
156,1474597707,生姜洗发水老姜王育发控油姜汁洗头膏无硅油洗发露 防脱洗发水400ml+头皮营养剂50ml,148.00,2.7万+,中国
157,1970131598,美体小铺(the body shop)生姜洗发水护发素套装 ,108.00,9800+,-1
158,1962031823,【第二支5折】露华浓（Revlon）生姜洗发水男女士保湿洗发露护发素,102.00,1.5万+,-1
159,1974330494,丽康丝（NIOXIN） 防掉发洗发水 丽/俪康丝123456号控油密发增发 1号细软出油轻微掉发洗发水1L,268.00,5200+,墨西哥
160,29162504331,章光101瑞丝防脱香波,68.00,1.2万+,大陆
161,8142885,Rogaine 男性浓密,489.00,1800+,意大利
162,27298363021,卡诗（KERASTASE） 男士纤弱发质洗发水露男士250ml 防掉发无硅油强韧纤细发质控油去屑止痒,198.00,900+,西班牙
163,11772870480,营养液,99.00,3100+,德国
164,32121359527,韩鹭（hanlu） 防止脱发生姜洗发水育头发增长液溢脂性脱发去油老姜王姜汁防掉发护发密发洗头水 2瓶装【两瓶一疗程，第二瓶五折】,132.00,500+,中国大陆
165,10689726087,洗发水防掉发断发脂溢性生发液生长男增发密发女士女性老姜汁姜王洗发露,85.00,2800+,中国
166,29211183864,章光101瑞丝生发液育发液,92.00,6700+,中国
167,1315314502,"<font class=""skcolor_ljg"">包邮</font>",49.00,4800+,中国大陆
